Coefficient,MAE,ExpVar
1.291189378734143,5.531090105098711,0.9239026961737301
0.30040712261704466,5.531090105098711,0.9239026961737301
0.10177097057969593,5.531090105098711,0.9239026961737301
0.37318472958466803,5.531090105098711,0.9239026961737301
0.7713946338295178,5.531090105098711,0.9239026961737301
1.5786617068990014,5.531090105098711,0.9239026961737301
1.3808218388818214,5.531090105098711,0.9239026961737301
0.37801424918951526,5.531090105098711,0.9239026961737301
1.2665717229829305,5.531090105098711,0.9239026961737301
0.7175923632457517,5.531090105098711,0.9239026961737301
1.6658042523997698,5.531090105098711,0.9239026961737301
0.14916625064051783,5.531090105098711,0.9239026961737301
0.232628688637198,5.531090105098711,0.9239026961737301
0.43841715752797733,5.531090105098711,0.9239026961737301
0.40284262497870343,5.531090105098711,0.9239026961737301
0.829641170620711,5.531090105098711,0.9239026961737301
0.31047724830739837,5.531090105098711,0.9239026961737301
1.982707614671745,5.531090105098711,0.9239026961737301
19.893397305331945,5.531090105098711,0.9239026961737301
0.09540706406670374,5.531090105098711,0.9239026961737301
0.6063070233814877,5.531090105098711,0.9239026961737301
0.7666226179933344,5.531090105098711,0.9239026961737301
